PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
N. Salva,4,9.75,1.5,3.0,50%,0.25,0.5,50%,1.0,1.0,100%,0.75,0.0,0.5,0.25,1.0,1.25,1.25,1.5,-2.25,4.25,MER
J. Ponferada,10,8.25,1.6,2.6,62%,0.4,0.9,44%,0.5,0.7,71%,0.5,0.2,0.0,0.9,1.1,2.0,2.0,0.6,0.1,4.1,ROS
J. Chan,3,18.7,1.33,6.0,22%,0.0,2.67,0%,1.33,2.0,67%,3.33,1.0,0.0,0.67,2.0,2.67,0.67,1.67,11.0,4.0,GIN
P. Simon,10,9.46,1.4,4.0,35%,0.6,2.1,29%,0.6,0.9,67%,0.5,0.0,0.0,0.0,1.1,1.1,0.6,0.8,1.0,4.0,MAG
K. Ighalo,11,14.02,1.55,4.36,35%,0.36,1.91,19%,0.55,0.82,67%,0.91,0.64,0.09,0.91,2.36,3.27,1.0,1.0,-1.64,4.0,NLX
D. Potts,3,8.25,1.67,3.0,56%,0.67,1.0,67%,0.0,0.0,0%,0.67,0.67,0.33,0.0,0.33,0.33,0.33,0.0,0.0,4.0,ALA
D. Kramer,11,13.87,1.73,3.55,49%,0.0,0.0,0%,0.45,0.45,100%,0.64,0.09,0.0,1.64,2.55,4.18,2.18,1.27,0.45,3.91,PHX
R. Pascual,7,11.71,1.29,3.0,43%,1.14,2.57,44%,0.14,0.29,50%,1.0,0.14,0.29,0.14,1.57,1.71,1.57,0.86,-1.86,3.86,ALA
L. Revilla,11,17.55,1.27,3.45,37%,0.45,1.09,42%,0.64,1.18,54%,3.0,0.91,0.09,0.27,2.27,2.55,2.55,1.18,-0.91,3.64,PHX
M. Cortez,5,13.37,1.4,4.0,35%,0.4,0.8,50%,0.4,0.4,100%,3.0,0.8,0.2,0.8,1.0,1.8,1.0,0.8,-1.6,3.6,BWE
R. Reavis,10,14.97,1.5,3.8,39%,0.0,0.2,0%,0.6,0.7,86%,0.9,0.7,0.3,1.5,1.8,3.3,2.9,0.5,-1.9,3.6,MAG
A. Galliguez,5,9.18,0.8,2.0,40%,0.4,1.4,29%,1.6,2.0,80%,1.0,0.6,0.0,0.2,1.2,1.4,1.6,1.2,4.2,3.6,ALA
B. Guinto,10,9.01,1.4,2.5,56%,0.0,0.0,0%,0.7,1.1,64%,0.2,0.2,0.4,1.2,0.9,2.1,1.9,0.3,0.4,3.5,GLO
R. Guevarra,2,3.92,1.5,2.5,60%,0.5,1.0,50%,0.0,0.0,0%,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,3.5,PHX
M. Tolomia,8,7.21,1.25,3.38,37%,0.13,1.0,13%,0.88,1.0,88%,0.5,0.25,0.0,0.25,1.5,1.75,1.0,1.0,-3.75,3.5,MER
G. Mendoza,2,6.33,1.5,3.0,50%,0.5,1.5,33%,0.0,0.5,0%,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,-2.5,3.5,MAG
R. Arana,9,9.33,1.56,3.11,50%,0.22,0.67,33%,0.11,0.11,100%,1.11,0.56,0.0,0.67,0.89,1.56,1.56,0.33,-0.11,3.44,GLO
M. Miranda,9,11.71,1.44,4.0,36%,0.22,1.67,13%,0.22,0.33,67%,0.89,0.22,0.22,0.22,1.78,2.0,1.89,0.44,-1.89,3.33,NLX
J. Gabriel,3,7.04,1.33,2.33,57%,0.0,0.0,0%,0.67,1.33,50%,0.0,0.0,0.33,1.0,0.33,1.33,1.67,1.0,-5.0,3.33,COL
C. Exciminiano,11,13.09,1.36,3.36,41%,0.27,1.27,21%,0.27,0.64,43%,0.64,0.55,0.09,0.73,0.73,1.45,1.09,0.36,4.18,3.27,ALA
E. Palma,9,10.57,1.11,3.11,36%,0.33,1.11,30%,0.67,0.78,86%,0.67,0.67,0.56,0.78,1.44,2.22,0.89,0.33,-2.89,3.22,BWE
R. Herndon,11,10.3,1.36,2.82,48%,0.27,0.91,30%,0.18,0.36,50%,0.55,0.73,0.09,1.18,1.64,2.82,1.36,0.36,-0.64,3.18,MAG
M. Caguioa,10,7.15,1.4,3.5,40%,0.0,0.0,0%,0.3,0.5,60%,0.3,0.2,0.1,0.5,1.3,1.8,0.9,0.3,-1.3,3.1,GIN
N. Baclao,10,16.84,1.4,2.9,48%,0.0,0.1,0%,0.2,0.2,100%,1.2,0.6,0.7,1.2,2.1,3.3,2.6,0.8,2.7,3.0,ALA
Y. Taha,5,10.43,1.4,2.8,50%,0.0,0.0,0%,0.2,0.2,100%,0.2,0.0,0.2,1.4,1.2,2.6,1.4,0.6,-2.2,3.0,TNT
D. Ababou,8,9.94,1.13,3.13,36%,0.5,1.88,27%,0.25,0.38,67%,0.0,0.38,0.13,0.0,0.13,0.13,1.38,0.38,-4.25,3.0,COL
R. Cabrera,6,6.27,1.0,3.33,30%,0.83,3.0,28%,0.17,0.33,50%,0.67,0.17,0.0,0.0,0.83,0.83,0.33,0.0,0.0,3.0,COL
R. Buenafe,7,9.76,1.0,3.14,32%,0.86,2.57,33%,0.0,0.0,0%,0.57,0.43,0.0,0.14,1.14,1.29,0.57,1.0,-6.14,2.86,NLX
B. Mamaril,5,6.38,1.2,1.2,100%,0.0,0.0,0%,0.4,0.8,50%,0.4,0.0,0.0,0.6,1.2,1.8,1.6,0.0,1.0,2.8,SMB
